Type of Incident,Type  Location,Year of Incident,Location1,Zip Code,Update Date,Latitude,Longitude,Day of Week
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3820 W NORTHWEST HWY
DALLAS, TX 75220
(32.861734, -96.852296)",75220,6/26/2016 8:30,32.861734,-96.852296,Sunday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"400 OLIVE ST
DALLAS, TX 75201
(32.784474, -96.794717)",75201,9/30/2015 10:07,32.784474,-96.794717,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3300 SAMUELL BLVD
Dallas, TX 75204
(32.792939, -96.738253)",75204,9/11/2014 5:54,32.792939,-96.738253,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5400 N JIM MILLER RD
DALLAS, TX 75227
(32.789257, -96.699973)",75227,2/19/2018 23:31,32.789257,-96.699973,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"500 S MUNGER BLVD
DALLAS, TX 75223
(32.793596, -96.758923)",75223,10/4/2015 23:26,32.793596,-96.758923,Sunday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"6000 SCYENE RD
DALLAS, TX 75227
(32.765745, -96.719333)",75227,3/25/2015 15:56,32.765745,-96.719333,Wednesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2017,"2500 HICKORY ST
DALLAS, TX 75226
(32.774749, -96.780563)",75226,11/3/2017 1:00,32.774749,-96.780563,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Other,2015,"8916 GARLAND RD
DALLAS, TX 75218
(32.826524, -96.710732)",75218,7/6/2015 22:35,32.826524,-96.710732,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"8698 SKILLMAN ST
DALLAS, TX 75243
(32.89701, -96.721329)",75243,12/11/2014 14:53,32.89701,-96.721329,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"6100 SPRING VALLEY RD
DALLAS, TX 75254
(32.938629, -96.802491)",75254,4/21/2015 9:40,32.938629,-96.802491,Tuesday
